NetType,Scenario,VaryingParamName,ParamValue,Throughput,Delay,PDR,DropRatio,Energy
wired,defense,Coverage,2.000000,1.837062,4570.003289,21.480736,77.836473,0.000000
wired,defense,Coverage,3.000000,1.837062,4570.003289,21.480736,77.836473,0.000000
wired,defense,Coverage,4.000000,1.837062,4570.003289,21.480736,77.836473,0.000000
wired,defense,Coverage,5.000000,1.837062,4570.003289,21.480736,77.836473,0.000000
wired,defense,Flows,10.000000,1.815059,2417.310581,42.410607,57.047904,0.000000
wired,defense,Flows,15.000000,1.829081,3516.073386,28.504350,70.853801,0.000000
wired,defense,Flows,20.000000,1.837062,4570.003289,21.480736,77.836473,0.000000
wired,defense,Flows,25.000000,1.842517,5588.019246,17.242998,82.041285,0.000000
wired,defense,Flows,30.000000,0.224420,5957.971484,1.750928,118.624964,0.000000
wired,defense,Flows,35.000000,0.135567,4946.017721,0.906987,113.937665,0.000000
wired,defense,Flows,40.000000,0.121070,4797.378215,0.709048,115.835334,0.000000
wired,defense,Flows,45.000000,0.119898,4873.684147,0.624434,113.897898,0.000000
wired,defense,Flows,50.000000,0.115066,4839.253491,0.539571,111.177167,0.000000
wired,defense,Nodes,100.000000,1.669790,5000.317731,19.524829,79.779110,0.000000
wired,defense,Nodes,10.000000,1.995767,2211.646781,23.336473,76.398116,0.000000
wired,defense,Nodes,15.000000,1.723094,3280.257269,20.148116,79.403253,0.000000
wired,defense,Nodes,20.000000,1.461698,4316.457616,17.091610,82.306507,0.000000
wired,defense,Nodes,25.000000,1.113535,4581.074223,13.020548,86.432791,0.000000
wired,defense,Nodes,30.000000,0.724991,4998.827464,8.477312,90.913099,0.000000
wired,defense,Nodes,35.000000,0.897059,5364.088357,10.489298,90.408390,0.000000
wired,defense,Nodes,40.000000,0.249096,4788.391018,2.912671,99.915240,0.000000
wired,defense,Nodes,45.000000,0.356583,4833.104793,4.169521,103.723459,0.000000
wired,defense,Nodes,50.000000,1.825896,4515.429249,21.350171,77.972603,0.000000
wired,defense,Nodes,5.000000,1.997780,1209.960018,23.360017,76.578767,0.000000
wired,defense,Nodes,55.000000,1.858003,4523.699096,21.725599,77.588613,0.000000
wired,defense,Nodes,60.000000,1.837062,4570.003289,21.480736,77.836473,0.000000
wired,defense,Nodes,65.000000,1.816340,4618.172673,21.238442,78.077055,0.000000
wired,defense,Nodes,70.000000,1.795326,4671.809733,20.992723,78.317209,0.000000
wired,defense,Nodes,75.000000,1.774348,4721.987737,20.747432,78.566353,0.000000
wired,defense,Nodes,80.000000,1.753371,4777.577580,20.502140,78.812928,0.000000
wired,defense,Nodes,85.000000,1.732576,4830.037332,20.258990,79.048373,0.000000
wired,defense,Nodes,90.000000,1.711855,4883.003036,20.016695,79.288955,0.000000
wired,defense,Nodes,95.000000,1.690841,4940.872396,19.770976,79.537671,0.000000
